h_tract,w_tract,commuters
42003564500,42003564500,74
42003040200,42003020100,73
42003080400,42003020100,73
42003270400,42003020100,73
42003408002,42003409000,73
42003408002,42003421100,73
42003414101,42003414102,73
42003451104,42003459201,73
42003456003,42003452000,73
42003456003,42003469000,73
42003473300,42003982200,73
42003491101,42003489002,73
42003504100,42003504100,73
42003516100,42003982200,73
42003524000,42003020100,73
42003564000,42003458000,73
42003060300,42003982200,72
42003401300,42003401300,72
42003409000,42003429400,72
42003426800,42003040200,72
42003428100,42003020100,72
42003429300,42003982200,72
42003437000,42003411000,72
42003437000,42003459201,72
42003450700,42003451300,72
42003477300,42003477300,72
42003521401,42003020100,72
42003524000,42003524000,72
42003170200,42003160900,71
42003413100,42003413100,71
42003413500,42003411000,71
42003423000,42003423000,71
42003426300,42003426300,71
42003426400,42003040200,71
42003446000,42003445500,71
42003462600,42003459201,71
42003464400,42003020100,71
42003468900,42003469000,71
42003470400,42003470300,71
42003483800,42003483800,71
42003521402,42003521200,71
42003020100,42003982200,70
42003090100,42003982200,70
42003101800,42003982200,70
42003111500,42003040200,70
42003130200,42003020100,70
42003140300,42003040200,70
42003409000,42003220600,70
42003414200,42003414101,70
42003425000,42003425000,70
42003426800,42003426800,70
42003426800,42003982200,70
42003427100,42003421100,70
42003453004,42003469000,70
42003460001,42003452000,70
42003469000,42003982200,70
42003470501,42003469000,70
42003473300,42003473300,70
42003489002,42003489002,70
42003490004,42003490003,70
42003526201,42003526201,70
42003560500,42003040200,70
42003070900,42003140100,69
42003111300,42003040200,69
42003140500,42003982200,69
42003411000,42003412001,69
42003413100,42003413500,69
42003414101,42003408001,69
42003414101,42003408002,69
42003426300,42003426400,69
42003435000,42003435000,69
42003450700,42003452000,69
42003450700,42003459201,69
42003460001,42003451300,69
42003460001,42003460002,69
42003470600,42003459201,69
42003470600,42003470300,69
42003503002,42003040200,69
42003504100,42003564400,69
42003408001,42003409000,68
42003412001,42003451300,68
42003456004,42003456004,68
42003456004,42003469000,68
42003459102,42003460002,68
42003470300,42003459201,68
42003470600,42003458000,68
42003473602,42003982200,68
42003477300,42003040200,68
42003478200,42003160900,68
42003480101,42003421100,68
42003496102,42003491200,68
42003507000,42003020100,68
42003411000,42003413300,67
42003413201,42003413300,67
42003414102,42003411000,67
42003415001,42003415001,67
42003426300,42003421100,67
42003427100,42003040200,67
42003465600,42003459201,67
42003473100,42003473100,67
42003473500,42003982200,67
42003480400,42003040200,67
42003491101,42003488600,67
42003563900,42003040200,67
42003120300,42003020100,66
42003407002,42003408002,66
42003408002,42003982200,66
42003409000,42003413500,66
42003412001,42003469000,66
42003414200,42003982200,66
42003470501,42003459201,66
42003489002,42003489001,66
42003491200,42003491200,66
42003496102,42003496101,66
42003515300,42003020100,66
42003523300,42003982200,66
42003523501,42003040900,66
42003409000,42003452000,65
42003411000,42003040200,65
42003412002,42003411000,65
42003414101,42003413500,65
42003437000,42003040200,65
42003453003,42003020100,65
42003453003,42003452000,65
42003457200,42003470300,65
42003459201,42003469000,65
42003470300,42003458000,65
42003473100,42003459201,65
42003473200,42003982200,65
42003474102,42003474102,65
42003474203,42003459201,65
42003496200,42003496102,65
42003509400,42003040200,65
42003520001,42003521200,65
42003523200,42003040200,65
42003525300,42003525300,65
42003526202,42003040200,65
42003526202,42003421100,65
42003564000,42003469000,65
42003020100,42003040200,64
42003090200,42003040200,64
42003110600,42003140100,64
42003140800,42003141300,64
42003191800,42003459201,64
42003414101,42003421100,64
42003414200,42003413500,64
42003426400,42003982200,64
42003449000,42003451105,64
42003458000,42003040200,64
42003462100,42003459201,64
42003468800,42003459201,64
42003484500,42003484300,64
42003491101,42003982200,64
42003498000,42003020100,64
42003526302,42003521200,64
42003564100,42003020100,64
42003564400,42003504100,64
42003010300,42003020100,63
42003101100,42003982200,63
42003250900,42003020100,63
42003401300,42003020100,63
42003402000,42003421100,63
42003412001,42003220600,63
42003417100,42003421100,63
42003427200,42003040200,63
42003453004,42003458000,63
42003456004,42003458000,63
42003459101,42003020100,63
42003469000,42003459201,63
42003480101,42003480101,63
42003480300,42003982200,63
42003520001,42003520001,63
42003523600,42003521200,63
42003523600,42003982200,63
42003523701,42003525200,63
42003526101,42003982200,63
42003563300,42003020100,63
42003141100,42003982200,62
42003151600,42003040200,62
42003401200,42003401200,62
42003409000,42003451300,62
42003411000,42003452000,62
42003417100,42003020100,62
42003429300,42003409000,62
42003437000,42003451300,62
42003449000,42003020100,62
42003456001,42003452000,62
42003464400,42003459201,62
42003475101,42003475301,62
42003476100,42003470300,62
42003488200,42003040200,62
42003500300,42003500300,62
42003504100,42003521200,62
42003514000,42003020100,62
42003515401,42003040200,62
42003520001,42003982200,62
42003523400,42003040900,62
42003523600,42003040200,62
42003526101,42003521200,62
42003551300,42003020100,62
42003562000,42003020100,62
42003060300,42003060300,61
42003407002,42003040200,61
42003407002,42003408001,61
42003408001,42003982200,61
42003409000,42003412001,61
42003422000,42003422000,61
42003451101,42003451101,61
42003462600,42003460002,61
42003475401,42003475301,61
42003488600,42003488500,61
42003521500,42003521500,61
42003523702,42003421100,61
42003080600,42003040200,60
42003090200,42003090200,60
42003141300,42003141300,60
42003290200,42003040200,60
42003408002,42003040200,60
42003414102,42003414101,60
42003419000,42003020100,60
42003421100,42003140100,60
42003429202,42003040200,60
42003429300,42003429400,60
42003429500,42003413500,60
42003473401,42003982200,60
42003473500,42003473500,60
42003475304,42003459201,60
42003480200,42003478100,60
42003480400,42003459201,60
42003496101,42003020100,60
42003513800,42003020100,60
42003525100,42003525300,60
42003552400,42003551900,60
42003560400,42003982200,60
42003564400,42003564200,60
42003050600,42003982200,59
42003090300,42003982200,59
42003140600,42003040200,59
42003412002,42003040200,59
42003413400,42003040200,59
42003414101,42003040200,59
42003414102,42003408002,59
42003414102,42003414200,59
42003425000,42003421100,59
42003429300,42003413500,59
42003452000,42003453004,59
42003456003,42003982200,59
42003459201,42003458000,59
42003463900,42003459201,59
42003470400,42003458000,59
42003473601,42003982200,59
42003476100,42003459201,59
42003484500,42003040900,59
42003503002,42003040900,59
42003523400,42003040200,59
42003552300,42003020100,59
42003140400,42003040200,58
42003191800,42003982200,58
42003260900,42003020100,58
42003407001,42003421100,58
42003407002,42003415001,58
42003407002,42003419000,58
42003411000,42003429400,58
42003413500,42003982200,58
42003429201,42003429400,58
42003450800,42003451105,58
42003452000,42003469000,58
42003456004,42003452000,58
42003458000,42003982200,58
42003473300,42003040200,58
42003475200,42003459201,58
42003478200,42003459201,58
42003480300,42003040200,58
42003486700,42003020100,58
42003490004,42003459201,58
42003491101,42003040200,58
42003491200,42003020100,58
42003517000,42003020100,58
42003523100,42003421100,58
42003523400,42003521200,58
42003140800,42003040200,57
42003191600,42003982200,57
42003401200,42003421100,57
42003403500,42003419000,57
42003408002,42003414102,57
42003412001,42003452000,57
42003413202,42003409000,57
42003413500,42003413400,57
42003426300,42003040900,57
42003427200,42003040900,57
42003429500,42003429201,57
42003450800,42003459201,57
42003451300,42003451102,57
42003455000,42003459201,57
42003474101,42003982200,57
42003475101,42003475101,57
42003476100,42003040200,57
42003489001,42003489002,57
42003491101,42003488500,57
42003525200,42003525200,57
42003526302,42003982200,57
42003070800,42003140100,56
42003080900,42003040200,56
42003140800,42003140800,56
42003191600,42003469000,56
42003406000,42003421100,56
42003410000,42003020100,56
42003411000,42003220600,56
42003412002,42003413300,56
42003413100,42003421100,56
42003413400,42003413400,56
42003418000,42003020100,56
42003426800,42003413500,56
42003427100,42003220600,56
42003429201,42003040200,56
42003450700,42003450700,56
42003450800,42003452000,56
42003451300,42003469000,56
42003473300,42003469000,56
42003474101,42003459201,56
42003476200,42003476100,56
42003488300,42003488300,56
42003490002,42003490002,56
42003496200,42003040200,56
42003518001,42003040200,56
42003521100,42003521500,56
42003522000,42003020100,56
42003522000,42003521200,56
42003523701,42003421100,56
42003526301,42003040200,56
42003526301,42003521200,56
42003561400,42003040200,56
42003100500,42003982200,55
42003160800,42003982200,55
42003191800,42003040200,55
42003401300,42003421100,55
42003412001,42003010300,55
42003416000,42003419000,55
42003421100,42003040200,55
42003429201,42003429201,55
42003429201,42003982200,55
42003429500,42003409000,55
42003429600,42003040200,55
42003429600,42003982200,55
42003453003,42003564000,55
42003465800,42003452000,55
42003474203,42003470300,55
42003475200,42003982200,55
42003480101,42003980600,55
42003480200,42003040200,55
42003488400,42003491200,55
42003495000,42003020100,55
42003520001,42003040200,55
42003521200,42003040200,55
42003523100,42003982200,55
42003525200,42003421100,55
42003070500,42003140100,54
42003080400,42003040200,54
42003090100,42003040200,54
42003140300,42003140300,54
42003141400,42003141300,54
42003240600,42003240600,54
42003407002,42003982200,54
42003408001,42003421100,54
